Round,Hotspot_Energy_Ratio,Coverage_Ratio,k,f
163,0.6009,1.0,8,0.5
164,0.5985,1.0,8,0.5
165,0.5957,1.0,8,0.5
166,0.5926,1.0,8,0.5
167,0.5912,1.0,8,0.5
168,0.5891,1.0,8,0.5
169,0.5869,1.0,8,0.5
170,0.584,1.0,8,0.5
171,0.5823,1.0,8,0.5
172,0.5806,1.0,8,0.5
173,0.5779,1.0,8,0.5
174,0.5751,1.0,8,0.5
175,0.5725,1.0,8,0.5
176,0.5695,1.0,8,0.5
177,0.5666,1.0,8,0.5
178,0.5651,1.0,8,0.5
179,0.563,1.0,8,0.5
180,0.5615,1.0,8,0.5
181,0.5588,1.0,8,0.5
182,0.5559,1.0,8,0.5
183,0.5533,1.0,8,0.5
184,0.5508,1.0,8,0.5
185,0.5481,1.0,8,0.5
186,0.546,1.0,8,0.5
187,0.5436,1.0,8,0.5
188,0.5416,1.0,8,0.5
189,0.5402,1.0,8,0.5
190,0.5377,1.0,8,0.5
191,0.5359,1.0,8,0.5
192,0.5334,1.0,8,0.5
193,0.5311,1.0,8,0.5
194,0.5286,1.0,8,0.5
195,0.5264,1.0,8,0.5
196,0.5244,1.0,8,0.5
197,0.5219,1.0,8,0.5
198,0.5195,1.0,8,0.5
199,0.5173,1.0,8,0.5
200,0.5161,1.0,8,0.5
201,0.5135,1.0,8,0.5
202,0.5096,1.0,8,0.5
203,0.5075,1.0,8,0.5
204,0.5051,1.0,8,0.5
205,0.5033,1.0,8,0.5
206,0.5017,1.0,8,0.5
207,0.4985,1.0,8,0.5
208,0.496,1.0,8,0.5
209,0.4939,1.0,8,0.5
210,0.4915,1.0,8,0.5
211,0.489,1.0,8,0.5
212,0.4867,1.0,8,0.5
213,0.4839,1.0,8,0.5
214,0.481,1.0,8,0.5
215,0.4768,1.0,8,0.5
216,0.4748,1.0,8,0.5
217,0.472,1.0,8,0.5
218,0.4688,1.0,8,0.5
219,0.4665,1.0,8,0.5
220,0.4641,1.0,8,0.5
221,0.4613,1.0,8,0.5
222,0.4584,1.0,8,0.5
223,0.4551,1.0,8,0.5
224,0.4526,1.0,8,0.5
225,0.451,1.0,8,0.5
226,0.4485,1.0,8,0.5
227,0.4457,1.0,8,0.5
228,0.444,1.0,8,0.5
229,0.441,1.0,8,0.5
230,0.4375,1.0,8,0.5
231,0.4349,1.0,8,0.5
232,0.433,1.0,8,0.5
233,0.4293,1.0,8,0.5
234,0.4277,1.0,8,0.5
235,0.4255,1.0,8,0.5
236,0.4233,1.0,8,0.5
237,0.4206,1.0,8,0.5
238,0.4178,1.0,8,0.5
239,0.4151,1.0,8,0.5
240,0.4124,1.0,8,0.5
241,0.4102,1.0,8,0.5
242,0.4082,1.0,8,0.5
243,0.4061,1.0,8,0.5
244,0.4036,1.0,8,0.5
245,0.4007,1.0,8,0.5
246,0.398,1.0,8,0.5
247,0.3963,1.0,8,0.5
248,0.3944,1.0,8,0.5
